1,1,80.2626
2,"1,2",80.2626
8,"1,2,3,4,5,6,7,8",81.1679
5,"1,2,3,4,5",79.4024
3,"1,2,3",80.3531
9,"1,2,3,4,5,6,7,8,9",82.7524
1,2,80.2626
4,"1,2,3,4",80.8058
12,"1,2,3,4,5,6,7,8,9,10,11,12",83.2956
7,"1,2,3,4,5,6,7",79.6741
2,"1,3",80.2626
6,"1,2,3,4,5,6",80.2173
11,"1,2,3,4,5,6,7,8,9,10,11",82.2997
10,"1,2,3,4,5,6,7,8,9,10",83.1145
1,3,80.2626
4,"1,2,3,5",80.4436
3,"1,2,4",80.2626
2,"1,4",80.2626
5,"1,2,3,4,6",79.9004
8,"1,2,3,4,5,6,7,9",81.7565
9,"1,2,3,4,5,6,7,8,10",80.7605
6,"1,2,3,4,5,7",79.8099
1,4,80.2626
7,"1,2,3,4,5,6,8",79.7646
4,"1,2,3,6",80.3984
2,"1,5",80.2626
3,"1,2,5",80.4436
10,"1,2,3,4,5,6,7,8,9,11",82.2091
5,"1,2,3,4,7",80.3078
11,"1,2,3,4,5,6,7,8,9,10,12",83.9746
8,"1,2,3,4,5,6,7,10",80.3078
1,5,80.2626
6,"1,2,3,4,5,8",80.7605
4,"1,2,3,7",80.5342
7,"1,2,3,4,5,6,9",80.8058
9,"1,2,3,4,5,6,7,8,11",81.4396
3,"1,2,6",80.2626
2,"1,6",80.2626
5,"1,2,3,4,8",80.67
1,6,80.2626
10,"1,2,3,4,5,6,7,8,9,12",83.2956
11,"1,2,3,4,5,6,7,8,9,11,12",83.6578
4,"1,2,3,8",80.6247
6,"1,2,3,4,5,9",81.9828
8,"1,2,3,4,5,6,7,11",80.7153
2,"1,7",80.2626
3,"1,2,7",80.2626
7,"1,2,3,4,5,6,10",80.6247
9,"1,2,3,4,5,6,7,8,12",82.9335
1,7,80.2626
5,"1,2,3,4,9",81.4848
4,"1,2,3,9",81.0774
8,"1,2,3,4,5,6,7,12",83.1145
11,"1,2,3,4,5,6,7,8,10,11,12",83.2051
10,"1,2,3,4,5,6,7,8,10,11",81.5754
2,"1,8",80.2626
6,"1,2,3,4,5,10",80.0815
3,"1,2,8",80.2626
5,"1,2,3,4,10",80.9869
7,"1,2,3,4,5,6,11",80.7153
1,8,80.2626
9,"1,2,3,4,5,6,7,9,10",81.349
4,"1,2,3,10",80.7153
11,"1,2,3,4,5,6,7,9,10,11,12",83.4314
2,"1,9",80.3531
8,"1,2,3,4,5,6,8,9",81.4396
5,"1,2,3,4,11",80.8511
7,"1,2,3,4,5,6,12",82.3902
3,"1,2,9",80.5342
10,"1,2,3,4,5,6,7,8,10,12",83.6125
4,"1,2,3,11",80.0815
6,"1,2,3,4,5,11",79.4477
1,9,80.2626
2,"1,10",80.2626
11,"1,2,3,4,5,6,8,9,10,11,12",82.7071
9,"1,2,3,4,5,6,7,9,11",80.8511
1,10,80.2626
5,"1,2,3,4,12",82.0733
7,"1,2,3,4,5,7,8",81.4396
8,"1,2,3,4,5,6,8,10",81.0774
3,"1,2,10",80.5342
10,"1,2,3,4,5,6,7,8,11,12",83.6578
6,"1,2,3,4,5,12",82.1186
2,"1,11",80.2626
11,"1,2,3,4,5,7,8,9,10,11,12",83.2956
4,"1,2,3,12",82.2544
9,"1,2,3,4,5,6,7,9,12",83.4314
1,11,80.2626
7,"1,2,3,4,5,7,9",81.847
5,"1,2,3,5,6",79.2214
3,"1,2,11",80.3531
2,"1,12",82.2091
10,"1,2,3,4,5,6,7,9,10,11",81.5754
8,"1,2,3,4,5,6,8,11",81.349
6,"1,2,3,4,6,7",80.0362
1,12,82.2544
4,"1,2,4,5",80.6247
11,"1,2,3,4,6,7,8,9,10,11,12",83.024
7,"1,2,3,4,5,7,10",79.6288
9,"1,2,3,4,5,6,7,10,11",81.2132
2,"2,3",80.3531
5,"1,2,3,5,7",80.2173
3,"1,2,12",82.3902
8,"1,2,3,4,5,6,8,12",82.5713
10,"1,2,3,4,5,6,7,9,10,12",84.4273
4,"1,2,4,6",80.7153
6,"1,2,3,4,6,8",80.2626
2,"2,4",80.2626
7,"1,2,3,4,5,7,11",80.0362
3,"1,3,4",80.2626
9,"1,2,3,4,5,6,7,10,12",84.0199
5,"1,2,3,5,8",79.7193
10,"1,2,3,4,5,6,7,9,11,12",83.6578
8,"1,2,3,4,5,6,9,10",81.1679
6,"1,2,3,4,6,9",81.2132
2,"2,5",80.2626
4,"1,2,4,7",80.2626
11,"1,2,3,5,6,7,8,9,10,11,12",83.2051
3,"1,3,5",80.3078
8,"1,2,3,4,5,6,9,11",80.7605
5,"1,2,3,5,9",82.0281
7,"1,2,3,4,5,7,12",82.8882
2,"2,6",80.2626
9,"1,2,3,4,5,6,7,11,12",83.6578
10,"1,2,3,4,5,6,7,10,11,12",83.8841
6,"1,2,3,4,6,10",79.5835
4,"1,2,4,8",80.2173
3,"1,3,6",80.3984
5,"1,2,3,5,10",80.2173
8,"1,2,3,4,5,6,9,12",82.2091
2,"2,7",80.2626
10,"1,2,3,4,5,6,8,9,10,11",82.2544
3,"1,3,7",80.2626
4,"1,2,4,9",80.4436
9,"1,2,3,4,5,6,8,9,10",82.2091
7,"1,2,3,4,5,8,9",80.9869
5,"1,2,3,5,11",80.172
6,"1,2,3,4,6,11",79.9457
11,"1,2,4,5,6,7,8,9,10,11,12",83.1145
2,"2,8",80.2626
4,"1,2,4,10",80.3984
8,"1,2,3,4,5,6,10,11",80.7605
10,"1,2,3,4,5,6,8,9,10,12",82.4808
9,"1,2,3,4,5,6,8,9,11",81.4848
3,"1,3,8",80.3531
7,"1,2,3,4,5,8,10",80.8058
5,"1,2,3,5,12",82.2997
6,"1,2,3,4,6,12",82.2091
4,"1,2,4,11",79.6741
2,"2,9",80.4889
