1,"1","25nn",80.2626
2,"1 2","25nn",80.0362
7,"1 2 3 4 5 6 7     ","25nn",85.2875
5,"1 2 3 4 5       ","25nn",83.8841
3,"1 2 3","25nn",81.3038
4,"1 2 3 4        ","25nn",82.345
8,"1 2 3 4 5 6 7 8    ","25nn",85.9212
9,"1 2 3 4 5 6 7 8 9   ","25nn",85.7854
6,"1 2 3 4 5 6      ","25nn",84.3368
12,"1 2 3 4 5 6 7 8 9 10 11 12","25nn",87.5057
10,"1 2 3 4 5 6 7 8 9 10","25nn",86.4192
7,"1 2 3 4 5 6 7     ","30nn",85.5138
2,"1 2","30nn",80.2173
1,"1","30nn",80.2626
11,"1 2 3 4 5 6 7 8 9 10 11","25nn",86.6455
3,"1 2 3","30nn",81.2585
4,"1 2 3 4        ","30nn",82.2544
8,"1 2 3 4 5 6 7 8    ","30nn",85.6043
5,"1 2 3 4 5       ","30nn",84.3368
9,"1 2 3 4 5 6 7 8 9   ","30nn",86.0118
2,"1 2","35nn",80.2173
6,"1 2 3 4 5 6      ","30nn",84.2915
12,"1 2 3 4 5 6 7 8 9 10 11 12","30nn",87.234
1,"1","35nn",80.2626
3,"1 2 3","35nn",81.1679
5,"1 2 3 4 5       ","35nn",83.9746
4,"1 2 3 4        ","35nn",82.2997
7,"1 2 3 4 5 6 7     ","35nn",85.5138
8,"1 2 3 4 5 6 7 8    ","35nn",85.2875
6,"1 2 3 4 5 6      ","35nn",84.201
10,"1 2 3 4 5 6 7 8 9 10","30nn",86.4645
2,"1 2","40nn",80.172
3,"1 2 3","40nn",81.3943
1,"1","40nn",80.2626
11,"1 2 3 4 5 6 7 8 9 10 11","30nn",86.6003
9,"1 2 3 4 5 6 7 8 9   ","35nn",85.9212
2,"1 3","25nn",79.9909
5,"1 2 3 4 5       ","40nn",83.6578
7,"1 2 3 4 5 6 7     ","40nn",85.6949
12,"1 2 3 4 5 6 7 8 9 10 11 12","35nn",87.5509
4,"1 2 3 4        ","40nn",82.1186
10,"1 2 3 4 5 6 7 8 9 10","35nn",86.2834
6,"1 2 3 4 5 6      ","40nn",83.9746
1,"2","25nn",80.1268
3,"1 2 4","25nn",79.8099
9,"1 2 3 4 5 6 7 8 9   ","40nn",86.2834
8,"1 2 3 4 5 6 7 8    ","40nn",85.2875
7,"1 2 3 4 5 6 8     ","25nn",85.1969
2,"1 3","30nn",79.9909
4,"1 2 3 5        ","25nn",83.1145
1,"2","30nn",80.1268
5,"1 2 3 4 6       ","25nn",83.6578
11,"1 2 3 4 5 6 7 8 9 10 11","35nn",87.0077
6,"1 2 3 4 5 7      ","25nn",85.0611
3,"1 2 4","30nn",79.8099
10,"1 2 3 4 5 6 7 8 9 10","40nn",86.2381
12,"1 2 3 4 5 6 7 8 9 10 11 12","40nn",87.6867
4,"1 2 3 5        ","30nn",82.6618
8,"1 2 3 4 5 6 7 9    ","25nn",86.0118
9,"1 2 3 4 5 6 7 8 10   ","25nn",85.6949
1,"2","35nn",80.1268
2,"1 3","35nn",80.2173
3,"1 2 4","35nn",80.0815
6,"1 2 3 4 5 7      ","30nn",85.2875
7,"1 2 3 4 5 6 8     ","30nn",84.8348
5,"1 2 3 4 6       ","30nn",83.2051
11,"1 2 3 4 5 6 7 8 9 10 11","40nn",87.1888
4,"1 2 3 5        ","35nn",82.6618
2,"1 3","40nn",80.0362
3,"1 2 4","40nn",80.2626
1,"2","40nn",80.1268
10,"1 2 3 4 5 6 7 8 9 11","25nn",86.3287
9,"1 2 3 4 5 6 7 8 10   ","30nn",85.6949
8,"1 2 3 4 5 6 7 9    ","30nn",86.057
2,"1 4","25nn",80.3078
5,"1 2 3 4 6       ","35nn",83.1145
7,"1 2 3 4 5 6 8     ","35nn",84.7442
6,"1 2 3 4 5 7      ","35nn",85.1064
4,"1 2 3 5        ","40nn",82.4355
1,"3","25nn",80.2626
3,"1 2 5","25nn",81.5754
11,"1 2 3 4 5 6 7 8 9 10 12","25nn",86.555
2,"1 4","30nn",80.2626
1,"3","30nn",80.2626
10,"1 2 3 4 5 6 7 8 9 11","30nn",86.8719
4,"1 2 3 6        ","25nn",82.4808
5,"1 2 3 4 6       ","40nn",83.024
7,"1 2 3 4 5 6 8     ","40nn",84.6537
3,"1 2 5","30nn",81.4396
8,"1 2 3 4 5 6 7 9    ","35nn",86.2381
6,"1 2 3 4 5 7      ","40nn",85.2875
9,"1 2 3 4 5 6 7 8 10   ","35nn",85.4685
1,"3","35nn",80.2626
2,"1 4","35nn",80.2626
4,"1 2 3 6        ","30nn",82.2997
10,"1 2 3 4 5 6 7 8 9 11","35nn",86.6003
3,"1 2 5","35nn",81.1227
5,"1 2 3 4 7       ","25nn",84.1105
